,Type,Coefficients,Results,Ei,Sum(ei),Sigma,Correlation,Dependency,R2
1,"('Square', 'phi(x) = a_2 * x^2 + a_1 * x + a_0')","[-0.06546031980750351, 0.8922804955847304, 999.4880958763308]","[1001.0108155882702, 1001.3096701164958, 1001.5757944848175, 1001.8091886932355, 1002.0098527417497, 1002.1777866303602, 1002.3129903590669]","[0.010815588270247645, -0.0122579783915171, -0.009168015903696869, 0.0018337711778713128, 0.009852741749682536, 0.007861628917908092, -0.008937735820381931]",0.0005934150670454132,0.43774462933656516,0.9915787147178979,almost identical,0.0004424038279284224
0,"('Linear', 'phi(x) = ax + b')","[0.43405825693190536, 1000.2245244741663]","[1001.0926409880301, 1001.309670116496, 1001.526699244962, 1001.743728373428, 1001.9607575018939, 1002.1777866303598, 1002.3948157588259]","[0.09264098803009801, -0.012257978391289726, -0.05826325575924329, -0.06362654862959971, -0.03924249810609126, 0.007861628917567032, 0.07288766393855894]",0.023089945780880312,0.43405825693192157,1.0,almost identical,0.01750768922607106
3,"('Exponential', 'phi(x) = ae^{bx}')","[6.907980757887314, 0.00043332440290555496]","[1001.09272429962, 1001.3096467517247, 1001.5266162078171, 1001.7436326780825, 1001.9606961727079, 1002.1778067018832, 1002.3949642757997]","[0.0927242996200448, -0.012281343162612757, -0.058346292904047914, -0.06372224397512127, -0.03930382729208759, 0.007881700440975692, 0.07303618091236785]",0.02315463716668718,0.43407999290892696,0.9999999823965597,almost identical,0.017554982497059623
2,"('Cube', 'phi(x) = a_2 * x^2 + a_1 * x + a_0')","[0.0130874864569503, -0.20287892760548165, 1.350342521577991, 999.007130749038]","[1001.0009999734276, 1001.3194857313385, 1001.5856100996602, 1001.8091886932356, 1002.000037126907, 1002.1679710155175, 1002.3228059739097]","[0.000999973427610712, -0.0024423635487664797, 0.0006475989390537507, 0.0018337711779849997, 3.712690704560373e-05, -0.0019539859247288405, 0.0008778790223686883]",1.5337298658522943e-05,0.43783894647616356,0.9913651136465187,almost identical,1.1429363745817736e-05
4,"('Power', 'phi(x) = ax^b')","[6.907756568823238, 0.001440292464309323]","[1001.0001242930116, 1001.3218894039436, 1001.5848674186506, 1001.8072660444944, 1001.9999564130644, 1002.1699521271872, 1002.3220429136596]","[0.00012429301159500028, -3.869094371111714e-05, -9.50820706293598e-05, -8.887756314379658e-05, -4.358693558970117e-05, 2.7125744963996112e-05, 0.00011481877231744875]",4.9704540712596477e-08,0.43784148912473886,0.9913845949450952,almost identical,3.703942201781133e-08
5,"('Logarithm', 'phi(x) = ae^{bx}')","[0.07501261031615059, 1001.6530636014104]","[1001.7050583807575, 1001.7217969610168, 1001.7354733769088, 1001.7470366217847, 1001.7570531601045, 1001.7658883730601, 1001.7737917403639]","[0.705058380757464, 0.3998688661295091, 0.15051087618758174, -0.060318300272911074, -0.24294683989546684, -0.4040366283821868, -0.5481363545234217]",1.206016478814468,0.02276546950788557,0.9913594483588799,almost identical,332.43124217153553
